User 1,Is Bot?,User 2,Is Bot?,DTW Distance,Predicted,Real,Correct Match
465359767,1,465374259,1,73306.78959,TRUE,TRUE,TRUE
465405613,1,465387671,1,76055.78852,TRUE,TRUE,TRUE
465338328,1,465372408,1,77256.29662,TRUE,TRUE,TRUE
465360460,1,465417674,1,79290.59344,TRUE,TRUE,TRUE
465393485,1,465392182,1,80779.7085,TRUE,TRUE,TRUE
465368221,1,465373317,1,83631.30688,TRUE,TRUE,TRUE
465379325,1,465393485,1,86450.40681,TRUE,TRUE,TRUE
465319501,1,465375874,1,86723.60324,TRUE,TRUE,TRUE
465360460,1,465343577,1,87084.16183,TRUE,TRUE,TRUE
465325633,1,465367288,1,89220.22177,TRUE,TRUE,TRUE
465360460,1,465375874,1,92301.28731,TRUE,TRUE,TRUE
465325633,1,465375874,1,97919.49187,TRUE,TRUE,TRUE
465378230,1,465369079,1,98004.64466,TRUE,TRUE,TRUE
465387088,1,465378230,1,98293.73857,TRUE,TRUE,TRUE
465320112,1,465328572,1,99744.31015,TRUE,TRUE,TRUE
465320112,1,465405613,1,100223.9405,TRUE,TRUE,TRUE
465361035,1,465366176,1,102552.3717,TRUE,TRUE,TRUE
465402069,1,465368221,1,102568.6547,TRUE,TRUE,TRUE
465352631,1,465368221,1,102659.0258,TRUE,TRUE,TRUE
465334514,1,465392383,1,105646.286,TRUE,TRUE,TRUE
465398499,1,465393485,1,106204.6794,TRUE,TRUE,TRUE
465418810,1,465319501,1,107843.3316,TRUE,TRUE,TRUE
465366686,1,465369079,1,108266.4522,TRUE,TRUE,TRUE
465413078,1,465387671,1,109244.6725,TRUE,TRUE,TRUE
465380942,1,465369079,1,111014.641,TRUE,TRUE,TRUE
465320112,1,465378230,1,112499.2671,TRUE,TRUE,TRUE
465418810,1,465387088,1,112665.9646,TRUE,TRUE,TRUE
465368221,1,465374259,1,113324.9251,TRUE,TRUE,TRUE
465378983,1,465399263,1,113522.8336,TRUE,TRUE,TRUE
465373507,1,465323815,1,113750.2914,TRUE,TRUE,TRUE
465389976,1,465334514,1,115557.4126,TRUE,TRUE,TRUE
465392182,1,465334514,1,115801.7468,TRUE,TRUE,TRUE
465373538,1,465371415,1,116477.1725,TRUE,TRUE,TRUE
465359767,1,465349136,1,116730.673,TRUE,TRUE,TRUE
465360460,1,465413078,1,117659.0536,TRUE,TRUE,TRUE
465343577,1,465361035,1,117823.5761,TRUE,TRUE,TRUE
465392383,1,465403330,1,117972.559,TRUE,TRUE,TRUE
237192061,1,465367288,1,118032.6705,TRUE,TRUE,TRUE
465417674,1,465325040,1,118392.279,TRUE,TRUE,TRUE
465393290,1,465402069,1,118526.918,TRUE,TRUE,TRUE
465418810,1,465417674,1,120273.0254,TRUE,TRUE,TRUE
465325633,1,465361035,1,120301.5834,TRUE,TRUE,TRUE
465360460,1,465371415,1,120897.6508,TRUE,TRUE,TRUE
465360460,1,465378609,1,120992.0899,TRUE,TRUE,TRUE
465378983,1,465373507,1,121620.6417,TRUE,TRUE,TRUE
465368221,1,465349136,1,122118.3371,TRUE,TRUE,TRUE
465393290,1,465374259,1,122164.0568,TRUE,TRUE,TRUE
465379325,1,465417674,1,122533.3623,TRUE,TRUE,TRUE
465334514,1,465374259,1,122577.3646,TRUE,TRUE,TRUE
465393290,1,465376509,1,122774.0794,TRUE,TRUE,TRUE
465399263,1,465349136,1,122942.5329,TRUE,TRUE,TRUE
465319501,1,465374176,1,122986.7689,TRUE,TRUE,TRUE
465404874,1,465405613,1,123099.867,TRUE,TRUE,TRUE
465334514,1,465349136,1,123118.4676,TRUE,TRUE,TRUE
465378609,1,465369276,1,124260.7493,TRUE,TRUE,TRUE
465393485,1,465373507,1,124281.6099,TRUE,TRUE,TRUE
237192061,1,465380942,1,125044.3284,TRUE,TRUE,TRUE
465366176,1,465369079,1,125192.2175,TRUE,TRUE,TRUE
465399263,1,465369276,1,125600.9716,TRUE,TRUE,TRUE
465352631,1,465405613,1,126344.2995,TRUE,TRUE,TRUE
465325633,1,465372408,1,128131.9576,TRUE,TRUE,TRUE
465343577,1,465413078,1,128285.3659,TRUE,TRUE,TRUE
465368221,1,465418810,1,128329.5705,TRUE,TRUE,TRUE
465349136,1,465418238,1,128455.3059,TRUE,TRUE,TRUE
465404874,1,465402069,1,128531.3824,TRUE,TRUE,TRUE
465376231,1,465387088,1,128856.5815,TRUE,TRUE,TRUE
465319501,1,465418238,1,129126.5343,TRUE,TRUE,TRUE
465359767,1,465371415,1,129143.0265,TRUE,TRUE,TRUE
465325040,1,465392182,1,129255.4932,TRUE,TRUE,TRUE
465405613,1,465375874,1,129571.6428,TRUE,TRUE,TRUE
465361035,1,465366686,1,130371.7003,TRUE,TRUE,TRUE
465335657,1,465368221,1,130914.3397,TRUE,TRUE,TRUE
465335657,1,465405613,1,130977.8553,TRUE,TRUE,TRUE
465376231,1,465335657,1,131739.4246,TRUE,TRUE,TRUE
465335657,1,465328572,1,132561.1111,TRUE,TRUE,TRUE
465393485,1,465376509,1,132685.7607,TRUE,TRUE,TRUE
465369276,1,465334514,1,132876.1192,TRUE,TRUE,TRUE
465374259,1,465417674,1,134401.1698,TRUE,TRUE,TRUE
465359767,1,465376509,1,134808.045,TRUE,TRUE,TRUE
465404874,1,465351389,1,135567.6213,TRUE,TRUE,TRUE
465379325,1,465398499,1,135811.0879,TRUE,TRUE,TRUE
465319501,1,465335657,1,135885.6467,TRUE,TRUE,TRUE
465404874,1,465378983,1,135903.9179,TRUE,TRUE,TRUE
465360460,1,465399263,1,135926.4567,TRUE,TRUE,TRUE
465374259,1,465403330,1,136401.5892,TRUE,TRUE,TRUE
465398499,1,465418238,1,137379.1276,TRUE,TRUE,TRUE
465319501,1,465405613,1,137417.3252,TRUE,TRUE,TRUE
465393485,1,465375874,1,137760.6095,TRUE,TRUE,TRUE
465374176,1,465372408,1,138253.0195,TRUE,TRUE,TRUE
465418238,1,465413078,1,138289.5968,TRUE,TRUE,TRUE
465398499,1,465328572,1,138427.5771,TRUE,TRUE,TRUE
465392182,1,465367288,1,138438.024,TRUE,TRUE,TRUE
465343577,1,465393290,1,138976.2146,TRUE,TRUE,TRUE
465320112,1,465393485,1,139485.2028,TRUE,TRUE,TRUE
465418238,1,465405613,1,139531.0136,TRUE,TRUE,TRUE
465368221,1,465404874,1,139974.7288,TRUE,TRUE,TRUE
465369276,1,465374259,1,139997.6964,TRUE,TRUE,TRUE
465375874,1,465359767,1,140059.3944,TRUE,TRUE,TRUE
465374176,1,465349136,1,140417.9871,TRUE,TRUE,TRUE
465360460,1,465349136,1,140664.9649,TRUE,TRUE,TRUE
465418810,1,465402069,1,140932.8584,TRUE,TRUE,TRUE
465369079,1,465360460,1,141046.5656,TRUE,TRUE,TRUE
